Part,Manufacture Part Number/Seeed SKU,Quantity
BEAM,304090044,1
J1,320040007,1
J2,320110032,1
PWR,304090042,1
Q1,305030000,1
"R1, R2",301010113,2
R3,301010132,1
R4,301040007,1
SW1,311030004,1
